epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
5,321.394,1.02461,1.3866,1.20899,0.46767,0.6578,0.54815,0.34933,1.43842,2.25676,1.83874,0.00076832,0.00076832,0.00076832
6,378.665,1.15214,1.4899,1.29306,0.2303,0.44176,0.33313,0.17539,1.74408,6.97948,2.28035,0.000914856,0.000914856,0.000914856
7,435.754,1.13836,1.47217,1.27257,0.30697,0.31594,0.26885,0.15444,1.80677,4.3985,2.17541,0.00105817,0.00105817,0.00105817
8,492.42,1.16816,1.49241,1.32154,0.30958,0.39744,0.36036,0.24243,1.52189,4.752,1.94167,0.00116337,0.00116337,0.00116337
9,548.587,1.18621,1.40879,1.31351,0.54644,0.43163,0.43835,0.24407,1.47865,4.45551,1.75617,0.001151,0.001151,0.001151
10,605.663,1.16472,1.38971,1.31505,0.58533,0.59717,0.54763,0.32544,1.64505,2.75442,2.52309,0.00113863,0.00113863,0.00113863
11,662.442,1.17309,1.37427,1.30702,0.29302,0.39514,0.24909,0.16083,1.48988,3.50297,1.89332,0.00112625,0.00112625,0.00112625
12,718.352,1.14208,1.36175,1.29864,0.2772,0.30929,0.23391,0.13958,1.60253,7.38901,1.9104,0.00111388,0.00111388,0.00111388
13,774.73,1.1147,1.31892,1.26519,0.50313,0.52762,0.46692,0.30569,1.47234,2.13889,1.64462,0.0011015,0.0011015,0.0011015
14,831.223,1.09964,1.28705,1.25517,0.80016,0.44254,0.51341,0.33668,1.36577,1.64001,1.58246,0.00108913,0.00108913,0.00108913
15,888.654,1.03314,1.17229,1.21323,0.40004,0.43346,0.39384,0.2386,1.64237,2.35475,2.16938,0.00107675,0.00107675,0.00107675
16,945.86,1.09642,1.246,1.27323,0.72723,0.42839,0.48109,0.2946,1.45743,3.78962,1.69809,0.00106437,0.00106437,0.00106437
17,1002.06,1.0566,1.24417,1.23809,0.66305,0.56684,0.58023,0.35638,1.41117,2.01727,1.60797,0.001052,0.001052,0.001052
18,1059.02,1.07132,1.18119,1.23363,0.46483,0.58426,0.5662,0.36542,1.38485,1.90013,1.64916,0.00103962,0.00103962,0.00103962
19,1116.67,1.06026,1.25603,1.24251,0.4665,0.48968,0.47495,0.2913,1.48036,2.46793,1.76659,0.00102725,0.00102725,0.00102725
20,1173.6,1.047,1.22264,1.22848,0.43359,0.67587,0.57711,0.35287,1.45224,1.95886,1.68137,0.00101488,0.00101488,0.00101488
21,1230.65,1.01996,1.08783,1.19494,0.73168,0.69647,0.73494,0.5003,1.2394,1.15925,1.54414,0.0010025,0.0010025,0.0010025
22,1287.58,0.99897,1.06151,1.18738,0.50255,0.74832,0.63053,0.41134,1.21544,1.42319,1.3852,0.000990125,0.000990125,0.000990125
23,1344.71,1.02275,1.09864,1.20942,0.6669,0.5821,0.62964,0.3785,1.31271,1.52648,1.46661,0.00097775,0.00097775,0.00097775
24,1401.24,0.98653,1.08327,1.18127,0.60579,0.54919,0.57644,0.37296,1.38157,1.72395,1.5746,0.000965375,0.000965375,0.000965375
25,1457.79,0.92059,1.01167,1.15712,0.74963,0.58834,0.68742,0.47232,1.45809,1.39528,1.71127,0.000953,0.000953,0.000953
26,1514.32,1.00251,1.02771,1.19184,0.60806,0.76795,0.72814,0.50747,1.20655,1.19068,1.41379,0.000940625,0.000940625,0.000940625
